module_code,module_name,heq_level,credits,mark,pass_fail,non_compensatable,reassessed,reassessment_mark,stage,mark_scale_result
CCS1090,Academic English Skills,4,10,67,n,n,n,,1,P
CCS1102,Mathematical Foundations,4,10,62,n,n,n,,1,P
CCS1110,Programming Principles and Algorithms,4,10,85,n,n,n,,1,P
CCS1115,Programming Methodology and Design,4,10,84,n,n,n,,1,P
CCS1210,Introduction to Web Technologies,4,10,70,n,n,n,,1,P
CCS1310,Computer Systems Architecture,4,10,74,n,n,n,,1,P
CCS1107,Logic and Automata,4,10,86,n,n,n,,1,P
CCS1200,Introduction to Object-Orientation,4,10,92,n,n,n,,1,P
CCS1205,Object-Oriented Programming,4,10,79,n,n,n,,1,P
CCS1320,Network Architectures,4,10,73,n,n,n,,1,P
CCS1410,Systems Analysis and Design,4,10,58,n,n,n,,1,P
CCS1510,Database Systems,4,10,74,n,n,n,,1,P
CCS2110,Data Structures and Algorithms,5,10,82,n,n,n,,2,P
CCS2200,Logic Programming,5,10,74,n,n,n,,2,P
CCS2210,Web Programming,5,10,71,n,n,n,,2,P
CCS2330,Operating Systems,5,10,84,n,n,n,,2,P
CCS2720,Human Computer Interaction,5,10,72,n,n,n,,2,P
CCS2800,Information Systems Applications,5,10,56,n,n,n,,2,P
CCS2100,Data Analysis: Statistics and Probabilities,5,10,83,n,n,n,,2,P
CCS2201,Functional Programming,5,10,50,n,n,n,,2,P
CCS2420,Formal Methods and Software Reliability,5,10,77,n,n,n,,2,P
CCS2430,Software Development in Practice,5,10,80,n,n,n,,2,P
CCS2600,Artificial Intelligence Techniques,5,10,75,n,n,n,,2,P
CCS2710,Professional Issues in IT,5,10,64,n,n,n,,2,P
CCS3400,Software Engineering,6,10,,n,n,n,,3,
CCS3430,Industrial Software Project,6,20,,n,n,n,,3,
CCS3522,Data Science,6,10,,n,n,n,,3,
