module_code,module_name,heq_level,credits,mark,pass_fail,non_compensatable,reassessed,reassessment_mark,stage,mark_scale_result
CCS1090,Academic English Skills,4,10,47,n,n,n,,1,P
CCS1102,Mathematical Foundations,4,10,56,n,n,n,,1,P
CCS1110,Programming Principles and Algorithms,4,10,40,n,n,n,,1,P
CCS1115,Programming Methodology and Design,4,10,66,n,n,n,,1,P
CCS1210,Introduction to Web Technologies,4,10,61,n,n,n,,1,P
CCS1310,Computer Systems Architecture,4,10,50,n,n,n,,1,P
CCS1107,Logic and Automata,4,10,51,n,n,n,,1,P
CCS1200,Introduction to Object-Orientation,4,10,68,n,n,n,,1,P
CCS1205,Object-Oriented Programming,4,10,62,n,n,n,,1,P
CCS1320,Network Architectures,4,10,22,n,n,y,34,1,PC
CCS1410,Systems Analysis and Design,4,10,61,n,n,n,,1,P
CCS1510,Database Systems,4,10,64,n,n,n,,1,P
CCS2110,Data Structures and Algorithms,5,10,,,n,n,n,,2,
CCS2200,Logic Programming,5,10,,,n,n,n,,2,
CCS2210,Web Programming,5,10,,,n,n,n,,2,
CCS2420,Formal Methods and Software Reliability,5,10,,,n,n,n,,2,
CCS2720,Human Computer Interaction,5,10,,,n,n,n,,2,
